country,country_name,type,level,year,amount
PL,Poland,Exports,Total,2018,8121.301000000001
PL,Poland,Imports,Total,2016,14017.0
PL,Poland,Imports,Total,2017,13271.0
PL,Poland,Imports,Total,2018,13815.803
PL,Poland,Total net production,Total,2016,152003.0
PL,Poland,Total net production,Total,2017,154869.344
PL,Poland,Total net production,Total,2018,154096.49999999997
PT,Portugal,Energy absorbed by pumping,Total,2016,1520.0
PT,Portugal,Energy absorbed by pumping,Total,2017,2223.899
PT,Portugal,Energy absorbed by pumping,Total,2018,1565.0
PT,Portugal,Energy supplied,Total,2016,52257.052
PT,Portugal,Energy supplied,Total,2017,52761.10700000001
PT,Portugal,Energy supplied,Total,2018,53862.0
PT,Portugal,Exports,Total,2016,9701.0
PT,Portugal,Exports,Total,2017,8189.704
PT,Portugal,Exports,Total,2018,8326.0
PT,Portugal,Imports,Total,2016,4616.0
PT,Portugal,Imports,Total,2017,5505.732
PT,Portugal,Imports,Total,2018,5668.0
PT,Portugal,Total net production,Total,2016,58862.052
PT,Portugal,Total net production,Total,2017,57668.978
PT,Portugal,Total net production,Total,2018,58085.0
RO,Romania,Energy absorbed by pumping,Total,2016,660.0
RO,Romania,Energy absorbed by pumping,Total,2017,466.424
RO,Romania,Energy absorbed by pumping,Total,2018,0.0
RO,Romania,Energy supplied,Total,2016,54579.0
RO,Romania,Energy supplied,Total,2017,55995.380000000005
RO,Romania,Energy supplied,Total,2018,56178.0
RO,Romania,Exports,Total,2016,9194.0
RO,Romania,Exports,Total,2017,7735.38
RO,Romania,Exports,Total,2018,6239.0
RO,Romania,Imports,Total,2016,4177.0
RO,Romania,Imports,Total,2017,4841.754
RO,Romania,Imports,Total,2018,3695.0
RO,Romania,Total net production,Total,2016,60256.0
RO,Romania,Total net production,Total,2017,59355.43
RO,Romania,Total net production,Total,2018,58722.0
RS,Serbia,Energy absorbed by pumping,Total,2016,1029.0
RS,Serbia,Energy absorbed by pumping,Total,2017,938.05
RS,Serbia,Energy absorbed by pumping,Total,2018,1067.938
RS,Serbia,Energy supplied,Total,2016,33677.0
RS,Serbia,Energy supplied,Total,2017,34185.552
RS,Serbia,Energy supplied,Total,2018,34279.742000000006
RS,Serbia,Exports,Total,2016,6990.0
RS,Serbia,Exports,Total,2017,5724.139
RS,Serbia,Exports,Total,2018,6293.513000000001
RS,Serbia,Imports,Total,2016,5068.0
RS,Serbia,Imports,Total,2017,6549.189
RS,Serbia,Imports,Total,2018,6400.0070000000005
RS,Serbia,Total net production,Total,2016,36628.0
RS,Serbia,Total net production,Total,2017,34298.552
RS,Serbia,Total net production,Total,2018,35241.18600000001
SE,Sweden,Energy absorbed by pumping,Total,2016,170.0
SE,Sweden,Energy absorbed by pumping,Total,2017,36.0
SE,Sweden,Energy absorbed by pumping,Total,2018,56.301
SE,Sweden,Energy supplied,Total,2016,140626.0
SE,Sweden,Energy supplied,Total,2017,141498.0
SE,Sweden,Energy supplied,Total,2018,141001.49899999995
SE,Sweden,Exports,Total,2016,26022.0
SE,Sweden,Exports,Total,2017,30888.0
SE,Sweden,Exports,Total,2018,31671.103
SE,Sweden,Imports,Total,2016,14287.0
SE,Sweden,Imports,Total,2017,11896.0
SE,Sweden,Imports,Total,2018,14441.815
SE,Sweden,Total net production,Total,2016,152531.0
SE,Sweden,Total net production,Total,2017,160526.0
SE,Sweden,Total net production,Total,2018,158287.08799999996
SI,Slovenia,Energy absorbed by pumping,Total,2016,373.0
SI,Slovenia,Energy absorbed by pumping,Total,2017,365.3
SI,Slovenia,Energy absorbed by pumping,Total,2018,252.43500000000003
SI,Slovenia,Energy supplied,Total,2016,13997.0
SI,Slovenia,Energy supplied,Total,2017,14515.916
SI,Slovenia,Energy supplied,Total,2018,14529.653000000002
SI,Slovenia,Exports,Total,2016,9535.0
SI,Slovenia,Exports,Total,2017,9648.192
SI,Slovenia,Exports,Total,2018,9432.404
SI,Slovenia,Imports,Total,2016,8359.0
SI,Slovenia,Imports,Total,2017,9132.532
SI,Slovenia,Imports,Total,2018,8930.238000000001
SI,Slovenia,Total net production,Total,2016,15546.0
SI,Slovenia,Total net production,Total,2017,15396.876
SI,Slovenia,Total net production,Total,2018,15284.254
SK,Slovakia,Energy absorbed by pumping,Total,2016,334.0
SK,Slovakia,Energy absorbed by pumping,Total,2017,418.0
SK,Slovakia,Energy absorbed by pumping,Total,2018,401.0
SK,Slovakia,Energy supplied,Total,2016,27314.0
SK,Slovakia,Energy supplied,Total,2017,28302.0
SK,Slovakia,Energy supplied,Total,2018,26997.0
SK,Slovakia,Exports,Total,2016,10598.0
SK,Slovakia,Exports,Total,2017,12535.0
SK,Slovakia,Exports,Total,2018,8746.0
SK,Slovakia,Imports,Total,2016,13249.0
SK,Slovakia,Imports,Total,2017,15563.0
SK,Slovakia,Imports,Total,2018,12427.0
SK,Slovakia,Total net production,Total,2016,24997.0
SK,Slovakia,Total net production,Total,2017,25692.0
SK,Slovakia,Total net production,Total,2018,23717.0
TR,Turkey,Energy absorbed by pumping,Total,2016,0.0
TR,Turkey,Energy absorbed by pumping,Total,2017,0.0
TR,Turkey,Energy absorbed by pumping,Total,2018,0.0
TR,Turkey,Energy supplied,Total,2016,266815.0
TR,Turkey,Energy supplied,Total,2017,283682.114
TR,Turkey,Energy supplied,Total,2018,288675.00599999994
TR,Turkey,Exports,Total,2016,1452.0
TR,Turkey,Exports,Total,2017,3303.673
TR,Turkey,Exports,Total,2018,3073.5800000000004
TR,Turkey,Imports,Total,2016,6330.0
TR,Turkey,Imports,Total,2017,2728.268
TR,Turkey,Imports,Total,2018,2466.0080000000003
TR,Turkey,Total net production,Total,2016,261937.0
TR,Turkey,Total net production,Total,2017,284257.51900000003
TR,Turkey,Total net production,Total,2018,289282.578
UA,Ukraine,Energy absorbed by pumping,Total,2016,1633.0
UA,Ukraine,Energy absorbed by pumping,Total,2017,1574.2
UA,Ukraine,Energy absorbed by pumping,Total,2018,0.0
UA,Ukraine,Energy supplied,Total,2016,146503.0
UA,Ukraine,Energy supplied,Total,2017,138155.59999999998
UA,Ukraine,Energy supplied,Total,2018,156020.2
UA,Ukraine,Exports,Total,2016,3830.0
UA,Ukraine,Exports,Total,2017,5226.0
UA,Ukraine,Exports,Total,2018,4639.3
UA,Ukraine,Imports,Total,2016,77.0
UA,Ukraine,Imports,Total,2017,50.0
UA,Ukraine,Imports,Total,2018,1587.0
UA,Ukraine,Total net production,Total,2016,151889.0
