country,country_name,type,year,value,ratio
EE,Estonia,Other,2017,0.0,0.0
IE,Ireland,Conventional thermal,2017,21745.666,0.7179593423938161
IE,Ireland,Nuclear,2017,0.0,0.0
IE,Ireland,Hydro,2017,885.765,0.029244597839195106
IE,Ireland,Pumped hydro power,2017,201.184,0.006642331963535055
IE,Ireland,Wind,2017,7444.742,0.24579711978523092
IE,Ireland,Solar,2017,10.801,0.0003566080182228315
IE,Ireland,Geothermal,2017,0.0,0.0
IE,Ireland,Other,2017,0.0,0.0
EL,Greece,Conventional thermal,2017,37021.751,0.7306952325121342
EL,Greece,Nuclear,2017,0.0,0.0
EL,Greece,Hydro,2017,4039.0,0.07971740839909247
EL,Greece,Pumped hydro power,2017,77.259,0.0015248544826703355
EL,Greece,Wind,2017,5536.987,0.10928305372108588
EL,Greece,Solar,2017,3991.477,0.07877945088501719
EL,Greece,Geothermal,2017,0.0,0.0
EL,Greece,Other,2017,0.0,0.0
ES,Spain,Conventional thermal,2017,126885.0,0.47492766696485716
ES,Spain,Nuclear,2017,55540.0,0.20788495585158345
ES,Spain,Hydro,2017,20708.0,0.07750957266428862
ES,Spain,Pumped hydro power,2017,2249.0,0.008417955810410717
ES,Spain,Wind,2017,47929.0,0.17939715608589385
ES,Spain,Solar,2017,13778.0,0.05157074039832764
ES,Spain,Geothermal,2017,0.0,0.0
ES,Spain,Other,2017,78.0,0.000291952224638522
FR,France,Conventional thermal,2017,68922.949,0.12702401162343085
FR,France,Nuclear,2017,379093.955,0.698664750202322
FR,France,Hydro,2017,54432.864,0.10031899171105739
FR,France,Pumped hydro power,2017,5070.791,0.009345395463621103
FR,France,Wind,2017,24710.749,0.045541557837284107
FR,France,Solar,2017,9572.843,0.017642613064935437
FR,France,Geothermal,2017,119.937,0.00022104217975466237
FR,France,Other,2017,673.71,0.0012416379175943504
HR,Croatia,Conventional thermal,2017,4808.0,0.4101269278012829
HR,Croatia,Nuclear,2017,0.0,0.0
HR,Croatia,Hydro,2017,5437.8,0.4638494608980483
HR,Croatia,Pumped hydro power,2017,200.3,0.01708577862699604
HR,Croatia,Wind,2017,1198.4,0.1022246485601201
HR,Croatia,Solar,2017,78.7,0.006713184113552613
HR,Croatia,Geothermal,2017,0.0,0.0
HR,Croatia,Other,2017,0.0,0.0
IT,Italy,Conventional thermal,2017,199722.444,0.6956749613674706
