country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
DK,Denmark,Pumped hydro power,B,0,0,0.475634898,0.524365102
DK,Denmark,Wind,B,14780,0.498420399,0.475634898,0.524365102
DK,Denmark,Solar,B,751.485,0.025342047,0.475634898,0.524365102
DK,Denmark,Geothermal,B,0,0,0.475634898,0.524365102
DK,Denmark,Other,B,0,0,0.475634898,0.524365102
DE,Germany,Conventional thermal,B,376128,0.601834651,0.601834651,0.280114694
DE,Germany,Nuclear,B,72155,0.115453727,0.601834651,0.280114694
DE,Germany,Hydro,B,25888,0.041422855,0.601834651,0.280114694
DE,Germany,Pumped hydro power,B,5910,0.009456469,0.601834651,0.280114694
DE,Germany,Wind,B,103707,0.165939431,0.601834651,0.280114694
DE,Germany,Solar,B,39401,0.063044727,0.601834651,0.280114694
DE,Germany,Geothermal,B,157,0.000251212,0.601834651,0.280114694
DE,Germany,Other,B,1623,0.002596929,0.601834651,0.280114694
EE,Estonia,Conventional thermal,B,10485,0.933327399,0.933327399,0.066672601
EE,Estonia,Nuclear,B,0,0,0.933327399,0.066672601
EE,Estonia,Hydro,B,26,0.002314403,0.933327399,0.066672601
EE,Estonia,Pumped hydro power,B,0,0,0.933327399,0.066672601
EE,Estonia,Wind,B,723,0.064358198,0.933327399,0.066672601
EE,Estonia,Solar,B,0,0,0.933327399,0.066672601
EE,Estonia,Geothermal,B,0,0,0.933327399,0.066672601
EE,Estonia,Other,B,0,0,0.933327399,0.066672601
IE,Ireland,Conventional thermal,B,21745.666,0.717959342,0.717959342,0.282040658
IE,Ireland,Nuclear,B,0,0,0.717959342,0.282040658
IE,Ireland,Hydro,B,885.765,0.029244598,0.717959342,0.282040658
IE,Ireland,Pumped hydro power,B,201.184,0.006642332,0.717959342,0.282040658
IE,Ireland,Wind,B,7444.742,0.24579712,0.717959342,0.282040658
IE,Ireland,Solar,B,10.801,0.000356608,0.717959342,0.282040658
IE,Ireland,Geothermal,B,0,0,0.717959342,0.282040658
IE,Ireland,Other,B,0,0,0.717959342,0.282040658
EL,Greece,Conventional thermal,B,37021.751,0.730695233,0.730695233,0.269304767
EL,Greece,Nuclear,B,0,0,0.730695233,0.269304767
EL,Greece,Hydro,B,4039,0.079717408,0.730695233,0.269304767
EL,Greece,Pumped hydro power,B,77.259,0.001524854,0.730695233,0.269304767
EL,Greece,Wind,B,5536.987,0.109283054,0.730695233,0.269304767
